nouns;det_a;category;cat_main;F_rank
flower;a;object;object;4892
crystal;a;object;object;4750
log;a;object;object;4642
guitar;a;object;object;4502
cigarette;a;object;object;4297
motor;a;object;object;3826
wire;a;object;object;3804
jacket;a;object;object;3474
pot;a;object;object;3359
button;a;object;object;3268
coat;a;object;object;3159
knife;a;object;object;3048
telephone;a;object;object;2939
bottle;a;object;object;2719
hat;a;object;object;2664
bell;a;object;object;2644
plate;a;object;object;2623
newspaper;a;object;object;2170
bowl;a;object;object;1799
bag;a;object;object;1561
machine;a;object;object;1542
card;a;object;object;1373
camera;a;object;object;1307
glass;a;object;object;1294
television;a;object;object;1165
cup;a;object;object;1141
ball;a;object;object;1055
gun;a;object;object;1027
box;a;object;object;1019
computer;a;object;object;872
key;a;object;object;702
book;a;object;object;301
anchor;an;object;object;4915
instrument;an;object;object;4041
iron;an;object;object;2864
engine;an;object;object;2579
pie;a;edible;object;4332
salad;a;edible;object;4244
meal;a;edible;object;3029
chicken;a;edible;object;2058
candy;a;edible;object;4042
cheese;a;edible;object;2553
chocolate;a;edible;object;3378
beer;a;drinkable;object;2161
tea;a;drinkable;object;2091
coffee;a;drinkable;object;1387
juice;a;drinkable;object;3354
administration;an;group;human;738
army;an;group;human;1050
band;a;group;human;1548
business;a;group;human;272
club;a;group;human;1142
company;a;group;human;321
corporation;a;group;human;3976
man;a;person;human;137
president;a;person;human;169
mother;a;person;human;284
woman;a;person;human;287
father;a;person;human;308
guy;a;person;human;348
child;a;person;human;379
girl;a;person;human;465
friend;a;person;human;480
son;a;person;human;496
wife;a;person;human;510
boy;a;person;human;530
student;a;person;human;623
king;a;person;human;673
husband;a;person;human;697
daughter;a;person;human;779
brother;a;person;human;790
kid;a;person;human;857
chief;a;person;human;879
teacher;a;person;human;883
doctor;a;person;human;885
author;an;person;human;901
professor;a;person;human;1136
leader;a;person;human;1158
secretary;a;person;human;1341
lady;a;person;human;1343
attorney;an;person;human;1348
manager;a;person;human;1471
candidate;a;person;human;1547
writer;a;person;human;1692
partner;a;person;human;1724
captain;a;person;human;1791
lawyer;a;person;human;1834
minister;a;person;human;1847
mayor;a;person;human;1979
adult;an;person;human;2001
parent;a;person;human;2156
uncle;an;person;human;2176
reader;a;person;human;2493
guest;a;person;human;2535
buddy;a;person;human;2536
hero;a;person;human;2704
winner;a;person;human;2734
actor;an;person;human;2738
prince;a;person;human;2916
employee;an;person;human;2965
nurse;a;person;human;3019
pilot;a;person;human;3036
worker;a;person;human;3124
aunt;an;person;human;3215
cop;a;person;human;3251
sheriff;a;person;human;3393
soldier;a;person;human;3521
singer;a;person;human;3797
cousin;a;person;human;3858
scientist;a;person;human;3896
champion;a;person;human;3929
priest;a;person;human;4035
actress;an;person;human;4392
bishop;a;person;human;4404
employer;an;person;human;4445
colonel;a;person;human;4511
princess;a;person;human;4519
physician;a;person;human;4558
opponent;an;person;human;5048
