V;F_rank;N1;N2;past_A;past_P;pres_3s
drink;1323;Person;Drinkable;drank;drunk;drinks
eat;826;Person;Edible;ate;eaten;eats
taste;2031;Person;Edible;tasted;tasted;tastes
lead;639;Person;Group;led;led;leads
ask;370;Person;Human;asked;asked;asks
bother;3506;Person;Human;bothered;bothered;bothers
chase;3578;Person;Human;chased;chased;chases
follow;888;Person;Human;followed;followed;follows
forgive;3964;Person;Human;forgave;forgiven;forgives
hurt;990;Person;Human;hurt;hurt;hurts
join;1492;Person;Human;joined;joined;joins
judge;972;Person;Human;judged;judged;judges
accept;1538;Person;Object;accepted;accepted;accepts
break;628;Person;Object;broke;broken;breaks
leave;416;Person;Object;left;left;leaves
use;155;Human;Object;used;used;uses
wrap;4957;Person;Object;wrapped;wrapped;wraps
collect;3819;Person;OED;collected;collected;collects
keep;222;Human;OED;kept;kept;keeps
prepare;2642;Person;OED;prepared;prepared;prepares
purchase;2658;Human;OED;purchased;purchased;purchases
remove;2127;Person;Object;removed;removed;removes
smell;2301;Person;OED;smelled;smelled;smells
want;103;Human;OED;wanted;wanted;wants
carry;1498;Person;POED;carried;carried;carries
catch;1461;Person;POED;caught;caught;catches
describe;2174;Person;POED;described;described;describes
destroy;2853;Person;POED;destroyed;destroyed;destroys
discover;3453;Person;POED;discovered;discovered;discovers
drag;4622;Person;PO;dragged;dragged;drags
forget;1107;Person;POED;forgot;forgotten;forgets
grab;2982;Person;POED;grabbed;grabbed;grabs
raise;1437;Person;POED;raised;raised;raises
select;3426;Person;POED;selected;selected;selects
wash;3567;Person;PO;washed;washed;washes
beat;1175;Person;Person;beat;beaten;beats
comfort;3025;Person;Person;comforted;comforted;comforts
embrace;4255;Person;Person;embraced;embraced;embraces
help;168;Human;Person;helped;helped;helps
hurry;3090;Person;Person;hurried;hurried;hurries
kill;703;Person;Person;killed;killed;kills
kiss;2722;Person;Person;kissed;kissed;kisses
protect;1197;Human;Person;protected;protected;protects
punch;4851;Person;Person;punched;punched;punches
strike;2318;Person;Person;struck;struck;strikes
surprise;1612;Person;Person;surprised;surprised;surprises
teach;1698;Person;Person;taught;taught;teaches
understand;357;Person;Person;understood;understood;understands
